ID,MENU,PRICE,KEY,NAME,DESCRIPTION
156,11,12,F3_A,A) Tofu and Vegetable,
157,11,12,F3_B,B) Chicken,
158,11,12,F3_C,C) Beef,
159,11,13,F3_D,D) Tiger Shrimp,
160,11,13.5,F3_E,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",
167,11,0,F4,F4. “NOODLE HOUSE” FRIED RICE,"Stir fried with eggs, mixed beans and vegetables"
168,11,12,F4_A,A) Tofu and Vegetable,
169,11,12,F4_B,B) Chicken,
170,11,12,F4_C,C) Beef,
171,11,13,F4_D,D) Tiger Shrimp,
172,11,13.5,F4_E,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",
173,11,0,F5,F5. *STIR FRIED CASHEWS NUTS,Served with vegetables and steam rice
174,11,12,F5_A,A) Tofu and Vegetable,
175,11,12,F5_B,B) Chicken,
176,11,12,F5_C,C) Beef,
177,11,13,F5_D,D) Tiger Shrimp,
178,11,13.5,F5_E,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",
179,11,0,F6,F6. *CANTONESE CHOW MEIN,Crispy or soft egg noodles with vegetables in garlic sauce
180,11,12,F6_A,A) Tofu and Vegetable,
181,11,12,F6_B,B) Chicken,
182,11,12,F6_C,C) Beef,
183,11,13,F6_D,D) Tiger Shrimp,
184,11,13.5,F6_E,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",
185,11,0,F7,F7. *STIR FRIED HO FUN,"Thick rice noodles, mixed vegetables in mushroom soya sauce (egg)"
186,11,12,F7_A,A) Tofu and Vegetable,
187,11,12,F7_B,B) Chicken,
188,11,12,F7_C,C) Beef,
189,11,13,F7_D,D) Tiger Shrimp,
190,11,13.5,F7_E,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",
191,11,0,F8,F8. SHANGHAI NOODLES,Thick wheat noodles stir-fried in a mushroom soya sauce (egg)
192,11,12,F8_A,A) Tofu and Vegetable,
193,11,12,F8_B,B) Chicken,
194,11,12,F8_C,C) Beef,
195,11,13,F8_D,D) Tiger Shrimp,
196,11,13.5,F8_E,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",
197,11,0,F9,F9. *SINGAPORE VEMICELLI,Thin rice noodles stir- fried in a curry paste (egg)
198,11,12,F9_A,A) Tofu and Vegetable,
199,11,12,F9_B,B) Chicken,
200,11,12,F9_C,C) Beef,
201,11,13,F9_D,D) Tiger Shrimp,
208,11,13.5,F9_E,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",
209,11,12,F10,F10. * SWEET AND SOUR CHICKEN,"Fresh pineapple, onions, green and red peppers glazed with sweet and sour sauce
 served w/ rice
"
210,11,12,F11,F11. CRISPY ORANGE BEEF OR CHICKEN,"Fresh onions, green and red peppers glazed with a sweet honey house sauce served w/ rice
"
212,10,4,B9,B9. Bubble tea (with pearl) ,"(Taro, Mango, Strawberry, Honeydew, Mint, Coconut)"
226,3,7,SO7,SO7. HOT AND SOUR SOUP,Bamboo shoots and mushrooms in mild eggs drop soup
229,8,0,T5,T5. PINEAPPLE CURRY,"Mixed vegetables, mushrooms, fresh pineapple in special home-made Thai curry"
230,8,12,T5_A,A) Tofu and Vegetable,
231,8,12,T5_B,B) Chicken,
232,8,12,T5_C,C) Beef,
233,8,13,T5_D,D) Tiger shrimp,
234,8,13.5,T5_E,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",
235,8,0,T6,T6. *BASIL THAI SPICY NOODLE,"Thai rice noodle, egg, onions, carrots and basil leaves in soda sauce"
236,8,12,T6_A,A) Tofu and Vegetable,
237,8,12,T6_B,B) Chicken,
238,8,12,T6_C,C) Beef,
239,8,13,T6_D,D) Tiger shrimp,
240,8,13.5,T6_E,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels",
251,9,6,D3,D3. Mango Sticky Rice,
252,9,4,D4,D4. Tropical Ice Cream (Mango or Cherry Or Chocolate),
273,8,0,T7,T7. *THAI FRIED RICE,"Thai fried rice w/ pineapples, cashew nuts, green bean and tomato sauce (egg)"
274,8,12,T7_A,A) Tofu and Vegetable,
275,8,12,T7_B,B) Chicken,
276,8,12,T7_C,C) Beef,
277,8,13,T7_D,D) Tiger Shrimp,
278,8,13.5,T7_E,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",
279,8,0,T8,T8. PAD SEW,Stir fried thick rice noodle w/ mixed vegetable in mushroom soya sauce
280,8,12,T8_A,A) Tofu and Vegetable,
281,8,12,T8_B,B) Chicken,
282,8,12,T8_C,C) Beef,
283,8,13,T8_D,D) Tiger Shrimp,
284,8,13.5,T8_E,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",
289,2,9.5,S1,S1. HOUSE MANGO SALAD,"shrimp andchicken skewers served on top of fresh shredded mango Mixed w/ onions, red/ green peppers and cashews tossed in tamarind vinaigrette"
290,2,8.5,S2,S2. LOTTUS SALAD,"tiger shrimp, fresh lotus root, carrots and onions in house special sauce"
