ID,MENU,PRICE,NAME,DESCRIPTION,KEY
209,209,11,11,12.00,12.00,"* SWEET AND SOUR CHICKEN","* SWEET AND SOUR CHICKEN","Fresh pineapple, onions, green and red peppers glazed with sweet and sour sauce
 served w/ rice
","Fresh pineapple, onions, green and red peppers glazed with sweet and sour sauce
 served w/ rice
",F10,F10
210,210,11,11,12.00,12.00,"CRISPY ORANGE BEEF OR CHICKEN","CRISPY ORANGE BEEF OR CHICKEN","Fresh onions, green and red peppers glazed with a sweet honey house sauce served w/ rice
","Fresh onions, green and red peppers glazed with a sweet honey house sauce served w/ rice
",F11,F11
365,365,11,11,12.00,12.00,"STIR FRIED LEMON GRASS WITH BEEF OR CHICKENandSPICY CHILI ","STIR FRIED LEMON GRASS WITH BEEF OR CHICKENandSPICY CHILI ","Stir fried mixed peppers with onions, lemongrass and hot chili","Stir fried mixed peppers with onions, lemongrass and hot chili",F12,F12
121,121,11,11,12.00,12.00,"A) Tofu and Vegetable","A) Tofu and Vegetable",,,F1A,F1A
122,122,11,11,12.00,12.00,"B) Chicken","B) Chicken",,,F1B,F1B
123,123,11,11,12.00,12.00,"C) Beef","C) Beef",,,F1C,F1C
124,124,11,11,13.00,13.00,"D) Tiger Shrimp","D) Tiger Shrimp",,,F1D,F1D
125,125,11,11,13.50,13.50,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)","E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,,"F1E ","F1E "
149,149,11,11,0.00,0.00,"SPICY BASIL FRIED RICE","SPICY BASIL FRIED RICE","Fried rice with Thai basil leaf in spicy soya sauce","Fried rice with Thai basil leaf in spicy soya sauce",F2,F2
150,150,11,11,12.00,12.00,"A) Tofu and Vegetable","A) Tofu and Vegetable",,,F2A,F2A
151,151,11,11,12.00,12.00,"B) Chicken","B) Chicken",,,F2B,F2B
152,152,11,11,12.00,12.00,"C) Beef","C) Beef",,,F2C,F2C
153,153,11,11,13.00,13.00,"D) Tiger Shrimp","D) Tiger Shrimp",,,F2D,F2D
154,154,11,11,13.50,13.50,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)","E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,,F2E,F2E
155,155,11,11,0.00,0.00,"PHUKET MANGO","PHUKET MANGO","Stir fried fresh mango with ginger, soya sauce, roasted garlic served w/ rice","Stir fried fresh mango with ginger, soya sauce, roasted garlic served w/ rice",F3,F3
156,156,11,11,12.00,12.00,"A) Tofu and Vegetable","A) Tofu and Vegetable",,,F3A,F3A
157,157,11,11,12.00,12.00,"B) Chicken","B) Chicken",,,F3B,F3B
158,158,11,11,12.00,12.00,"C) Beef","C) Beef",,,F3C,F3C
159,159,11,11,13.00,13.00,"D) Tiger Shrimp","D) Tiger Shrimp",,,F3D,F3D
160,160,11,11,13.50,13.50,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)","E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,,F3E,F3E
167,167,11,11,0.00,0.00,"“NOODLE HOUSE” FRIED RICE","“NOODLE HOUSE” FRIED RICE","Stir fried with eggs, mixed beans and vegetables","Stir fried with eggs, mixed beans and vegetables",F4,F4
168,168,11,11,12.00,12.00,"A) Tofu and Vegetable","A) Tofu and Vegetable",,,F4A,F4A
169,169,11,11,12.00,12.00,"B) Chicken","B) Chicken",,,F4B,F4B
170,170,11,11,12.00,12.00,"C) Beef","C) Beef",,,F4C,F4C
