ID,MENU,PRICE,NAME,DESCRIPTION,KEY
158,11,12,C) Beef,,F3C
159,11,13,D) Tiger Shrimp,,F3D
160,11,13.5,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,F3E
167,11,0,F4. “NOODLE HOUSE” FRIED RICE,"Stir fried with eggs, mixed beans and vegetables",F4
168,11,12,A) Tofu and Vegetable,,F4A
169,11,12,B) Chicken,,F4B
170,11,12,C) Beef,,F4C
171,11,13,D) Tiger Shrimp,,F4D
172,11,13.5,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,F4E
173,11,0,F5. *STIR FRIED CASHEWS NUTS,Served with vegetables and steam rice,F5
174,11,12,A) Tofu and Vegetable,,F5A
175,11,12,B) Chicken,,F5B
176,11,12,C) Beef,,F5C
177,11,13,D) Tiger Shrimp,,F5D
178,11,13.5,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,F5E
179,11,0,F6. *CANTONESE CHOW MEIN,Crispy or soft egg noodles with vegetables in garlic sauce,F6
180,11,12,A) Tofu and Vegetable,,F6A
181,11,12,B) Chicken,,F6B
182,11,12,C) Beef,,F6C
183,11,13,D) Tiger Shrimp,,F6D
184,11,13.5,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,F6E
185,11,0,F7. *STIR FRIED HO FUN,"Thick rice noodles, mixed vegetables in mushroom soya sauce (egg)",F7
186,11,12,A) Tofu and Vegetable,,F7A
187,11,12,B) Chicken,,F7B
188,11,12,C) Beef,,F7C
189,11,13,D) Tiger Shrimp,,F7D
190,11,13.5,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,F7E
191,11,0,F8. SHANGHAI NOODLES,Thick wheat noodles stir-fried in a mushroom soya sauce (egg),F8
192,11,12,A) Tofu and Vegetable,,F8A
193,11,12,B) Chicken,,F8B
194,11,12,C) Beef,,F8C
195,11,13,D) Tiger Shrimp,,F8D
196,11,13.5,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,F8E
197,11,0,F9. *SINGAPORE VEMICELLI,Thin rice noodles stir- fried in a curry paste (egg),F9
198,11,12,A) Tofu and Vegetable,,F9A
199,11,12,B) Chicken,,F9B
200,11,12,C) Beef,,F9C
201,11,13,D) Tiger Shrimp,,F9D
208,11,13.5,"E) Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,F9E
209,11,12,F10. * SWEET AND SOUR CHICKEN,"Fresh pineapple, onions, green and red peppers glazed with sweet and sour sauce
 served w/ rice
",F10
210,11,12,F11. CRISPY ORANGE BEEF OR CHICKEN,"Fresh onions, green and red peppers glazed with a sweet honey house sauce served w/ rice
",F11
212,10,4,B9. Bubble tea (with pearl) ,"(Taro, Mango, Strawberry, Honeydew, Mint, Coconut)",B9
