ID,MENU,PRICE,NAME,DESCRIPTION,KEY
84,5,10,Grilled Pork Chop and Fried Egg<br>Com Suon va Op La,,G6
85,5,10,Grilled Pork Chop and Grilled Chicken<br>Com Suon va Ga nuong,,G7
86,5,10,Grilled Beef and Grilled Chicken<br>Com Suon va Ga nuong,,G8
305,6,0,*House Special Rice Noodle Soup,,P1
332,6,0,"*Well Done Beef, Tripe Rice Noodle Soup ",,P10
333,6,8,Regular,,P10_A
334,6,9,Large,,P10_B
335,6,0,"Well Done Beef, Beef Balls Rice Noodle Soup ",,P11
336,6,8,Regular,,P11_A
337,6,9,Large,,P11_B
338,6,0,"Rare Beef, Well Done Beef, Tripe Rice Noodle Soup ",,P12
339,6,8,Regular,,P12_A
340,6,9,Large,,P12_B
341,6,0,"Rare Beef, Well Done Beef, and Beef Balls Rice Noodle Soup ",,P13
342,6,8,Regular,,P13_A
343,6,9,Large,,P13_B
344,6,0,Beef Balls Rice Noodle Soup,,P14
345,6,8,Regular,,P13_A
346,6,9,Large,,P14_B
347,6,0,Vegetable Rice Noodle Soup (Chicken Broth),,P15
348,6,8,Regular,,P15_A
349,6,9,Large,,P15_B
306,6,8,Regular,,P1_A 
307,6,9,Large,,P1_B 
308,6,0,House Special Satay Rice Noodle Soup,,P2
309,6,8,Regular,,P2_A 
310,6,9,Large,,P2B 
311,6,0,*Chicken Rice Noodle Soup,,P3
312,6,8,Regular,,P3_A
313,6,9,Large,,P3B
314,6,0,"Chicken, Well Done Beef Rice Noodle Soup ",,P4
315,6,8,Regular,,P3_A
316,6,9,Large,,P4B
317,6,0,*Rare Beef Rice Noodle Soup,,P5
318,6,8,Regular,,P5A
319,6,9,Large,,P5B
320,6,0,"Rare Beef, Well Done Beef Rice Noodle Soup ",,P6
321,6,8,Regular,,P6A
322,6,9,Large,,P6B
323,6,0,"Rare Beef, Tripe Rice Noodle Soup ",,P7
324,6,8,Regular,,P7A
325,6,9,Large,,P7B
326,6,0,"Rare Beef, Beef Balls Rice Noodle Soup",,P8
327,6,8,Regular,,P8A
328,6,9,Large,,P8B
329,6,0,Well Done Beef Rice Noodle Soup,,P9
330,6,8,Regular,,P9A
331,6,9,Large,,P9B
289,2,9.5,HOUSE MANGO SALAD,#NAME?,S1
290,2,8.5,LOTTUS SALAD,#NAME?,S2
368,2,7.5,*VEGGIE MANGO SALAD,#NAME?,S3
369,2,8,*VIETNAMESE CABBAGE SALAD,#NAME?,S4
34,3,7,*WONTON SOUP,#NAME?,SO1
35,3,0,TOM YUM SOUP,,SO2
36,3,7.5,Tofu Vegetable,,SO2_A   
37,3,7.5,Chicken,,SO2_B   
38,3,8.5,Shrimp,,SO2_C   
41,3,8.5,Shrimp and Chicken,,SO2_D  
42,3,0,COCONUT TOM YUM SOUP,,SO3
43,3,7.5,Tofu Vegetable,,SO3_A
44,3,7.5,Chicken,,SO3B
45,3,8.5,Shrimp,,SO3C
46,3,8.5,Shrimp and Chicken,,SO3D
48,3,10,SEAFOOD EGG NOODLE SOUP (Mi hai san),#NAME?,SO4
49,3,9,"WONTON EGG NOODLE SOUP (Wonton Mi)	",#NAME?,SO5
50,3,10,*THAI STYLE SEAFOOD RICE NOODLE SOUP (Pho Thai),#NAME?,SO6
226,3,7,HOT AND SOUR SOUP,#NAME?,SO7
69,8,0,*PAD THAI,"Thai rice noodles, egg, bean sprouts, carrots and onions in tamarind and tomato sauce. Garnished with roasted peanuts.",T1
70,8,12,Tofu and Vegetable,,T1_A
126,8,12,Chicken,,T1_B 
127,8,12,Beef,,T1_C 
128,8,13,Tiger Shrimp,,T1_D 
129,8,13.5,"Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,T1_E 
130,8,0,*THAI RED OR GREEN CURRY,"Red chili curry, mushrooms, eggplant and mixed vegetable served with rice",T2
131,8,12,Tofu and Vegetable,,T2_A
132,8,12,Chicken,,T2_B
133,8,12,Beef,,T2_C
134,8,13,Tiger Shrimp,,T2_D
135,8,13.5,"Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,T2_E
136,8,0,SPICY GOLDEN CURRY,"Mixed peppers and onions, lemongrass, red chili in Thai curry",T3
137,8,12,Tofu and Vegetable,,T3_A
138,8,12,Chicken,,T3_B
139,8,12,Beef,,T3_C
140,8,13,Tiger Shrimp,,T3_D
141,8,13.5,"Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,T3_E
142,8,0,PEANUT CURRY,"Mixed vegetables, mushrooms, roasted peanut in special home-made Thai curry",T4
143,8,12,Tofu and Vegetable,,T3_A
144,8,12,Chicken,,T4_B
145,8,12,Beef,,T4_C
147,8,13,Tiger Shrimp,,T4_D
148,8,13.5,"Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,T4_E
229,8,0,PINEAPPLE CURRY,"Mixed vegetables, mushrooms, fresh pineapple in special home-made Thai curry",T5
230,8,12,Tofu and Vegetable,,T5_A
231,8,12,Chicken,,T5_B
232,8,12,Beef,,T5_C
233,8,13,Tiger shrimp,,T5_D
234,8,13.5,"Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,T5_E
235,8,0,*BASIL THAI SPICY NOODLE,"Thai rice noodle, egg, onions, carrots and basil leaves in soda sauce",T6
236,8,12,Tofu and Vegetable,,T6_A
237,8,12,Chicken,,T6_B
238,8,12,Beef,,T6_C
239,8,13,Tiger shrimp,,T6_D
240,8,13.5,"Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels",,T6_E
273,8,0,*THAI FRIED RICE,"Thai fried rice w/ pineapples, cashew nuts, green bean and tomato sauce (egg)",T7
274,8,12,Tofu and Vegetable,,T7_A
275,8,12,Chicken,,T7_B
276,8,12,Beef,,T7_C
277,8,13,Tiger Shrimp,,T7_D
278,8,13.5,"Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,T7_E
279,8,0,PAD SEW,Stir fried thick rice noodle w/ mixed vegetable in mushroom soya sauce,T8
280,8,12,Tofu and Vegetable,,T8_A
281,8,12,Chicken,,T8_B
282,8,12,Beef,,T8_C
283,8,13,Tiger Shrimp,,T8_D
284,8,13.5,"Seafood ( Tiger Shrimps, Calamari, Scallops, Crab and Mussels)",,T8_E
371,8,12,THAI GINGER CHICKEN OR BEEF,Your choice of marinated chicken or beef sautéed in our sesame soy ginger sauce. Served with steam rice,T9
68,4,10,Grilled Beef and Spring Roll<br>Bun Bo va cha gio,,V1
71,4,10,*Grilled Chicken and Spring Roll<br>Bun Ga va cha gio,,V2
72,4,10,*Grilled Pork and Spring Roll<br>Bun Thit nuong va cha gio,,V3
73,4,10,"Grilled Beef<br>Bun Bo	",,V4
74,4,10,Grilled Chicken<br>Bun Ga,,V5
75,4,10,"Grilled Pork<br>Bun thit nuong	",,V6
76,4,0,Stir Fried Lemon Grass with Beef or Chicken and Spicy Chili<br>Bun bo hoac ga xao xa ot ,,V7
350,4,10,Beef ,,V7_A 
351,4,10,Chicken,,V7_B 
116,7,12,*Sizzling Chicken with Vegetables,(Your choice of: Satay sauce or black bean sauce),Zz1
354,7,12,*Sizzling Beef with Vegetables,(Your choice of: Satay sauce or black bean sauce),Zz2
357,7,13,Sizzling Tiger Shrimp with Vegetables,(Your choice of: Satay sauce or black bean sauce),Zz3
360,7,13.5,*Sizzling Seafood with Vegetables,(Your choice of: Satay sauce or black bean sauce),Zz4
