MENU,PRICE,NAME,DESCRIPTION,KEY
5,10,Grilled Pork Chop and Fried Egg<br>Com Suon va Op La,,G6
5,10,Grilled Pork Chop and Grilled Chicken<br>Com Suon va Ga nuong,,G7
5,10,Grilled Beef and Grilled Chicken<br>Com Suon va Ga nuong,,G8
6,0,*House Special Rice Noodle Soup,,P1
6,0,"*Well Done Beef, Tripe Rice Noodle Soup ",,P10
6,8,Regular,,P10A
6,9,Large,,P10B
6,0,"Well Done Beef, Beef Balls Rice Noodle Soup ",,P11
6,8,Regular,,P11A
6,9,Large,,P11B
6,0,"Rare Beef, Well Done Beef, Tripe Rice Noodle Soup ",,P12
6,8,Regular,,P12A
6,9,Large,,P12B
6,0,"Rare Beef, Well Done Beef, and Beef Balls Rice Noodle Soup ",,P13
6,8,Regular,,P13A
6,9,Large,,P13B
6,0,Beef Balls Rice Noodle Soup,,P14
6,8,Regular,,P14A
6,9,Large,,P14B
6,0,Vegetable Rice Noodle Soup (Chicken Broth),,P15
6,8,Regular,,P15A
6,9,Large,,P15B
6,8,Regular,,P1A 
6,9,Large,,P1B 
6,0,House Special Satay Rice Noodle Soup,,P2
6,8,Regular,,P2A 
6,9,Large,,P2B 
6,0,*Chicken Rice Noodle Soup,,P3
6,8,Regular,,P3A
6,9,Large,,P3B
6,0,"Chicken, Well Done Beef Rice Noodle Soup ",,P4
6,8,Regular,,P4A
6,9,Large,,P4B
6,0,*Rare Beef Rice Noodle Soup,,P5
6,8,Regular,,P5A
6,9,Large,,P5B
6,0,"Rare Beef, Well Done Beef Rice Noodle Soup ",,P6
6,8,Regular,,P6A
6,9,Large,,P6B
6,0,"Rare Beef, Tripe Rice Noodle Soup ",,P7
6,8,Regular,,P7A
6,9,Large,,P7B
6,0,"Rare Beef, Beef Balls Rice Noodle Soup",,P8
6,8,Regular,,P8A
6,9,Large,,P8B
6,0,Well Done Beef Rice Noodle Soup,,P9
6,8,Regular,,P9A
6,9,Large,,P9B
